ibjjf_name,ibjjf_profile_url,academy,gender,ranking_category,ruleset,points,same_academy_people_ids,same_academy_people_names,academy_known_people_count,signal_type,confidence,publication_policy,evidence
Romes Pereira Ramos Junior,https://ibjjf.com/athletes/romes-junior,Rio Grappling Club,male,master1,gi,11.0,960; 535,Mauro Chueng; Roberto Atalla,2,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Rio Grappling Club""; o acervo possui 2 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Jonatan Natanael Guedes da Silva,https://ibjjf.com/athletes/jonatan-silva-b1bd559f3e1f,CheckMat,male,master1,gi,11.0,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Rafael Braga Gomes,https://ibjjf.com/athletes/rafael-gomes-a8e6d18ce4bd,CheckMat,male,master1,gi,11,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Francisco Grisolia Santoro,https://ibjjf.com/athletes/francisco-santoro,GF Team,male,master1,gi,11.0,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
David B. Zennario,https://ibjjf.com/athletes/david-zennario,Bjj Conquest,male,master1,gi,11,7732,Vicente Junior,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Bjj Conquest""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Robson Costa Sá,https://ibjjf.com/athletes/robson-sa,SAS Team,male,master1,gi,9.5,9338,Guybson Sa,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""SAS Team""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Carlos Henrique Sedlacek Filho,https://ibjjf.com/athletes/carlos-filho-15cb10b934fd,The Match Champ,male,master1,gi,9,12201,Maria Eduarda Tozoni,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""The Match Champ""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Leandro Vieira Nascimento Raposo,https://ibjjf.com/athletes/leandro-raposo,Ataque Duplo,male,master1,gi,9,11215,Harryson Pereira,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Ataque Duplo""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Lucas Amorim Magalhães,https://ibjjf.com/athletes/lucas-magalhaes-1ed83c07e366,CheckMat,male,master1,gi,9,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Sebastiano Giaimo,https://ibjjf.com/athletes/sebastiano-giaimo,Roger Gracie Academy,male,master1,gi,9,6209; 9261,Felipe Mota; Ross Nicholls,2,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Roger Gracie Academy""; o acervo possui 2 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Michael Bakhtiyarov,https://ibjjf.com/athletes/michael-bakhtiyarov,Toronto BJJ,male,master1,gi,9.0,8783,Yacinta Nguyen,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Toronto BJJ""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Rafael Neves Palermo,https://ibjjf.com/athletes/rafael-palermo,Brazilian Top Team,male,master1,gi,9.0,627; 8409; 249; 232; 1675,Murilo Bustamante; Ricardo Marques; Anderson Pereira; Jose Mario Sperry; Luis Roberto Duarte,6,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Brazilian Top Team""; o acervo possui 6 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Rhuan Duarte,https://ibjjf.com/athletes/rhuan-duarte,Zenith BJJ,male,master1,gi,9.0,6006; 11093; 543,Paulo Rezende; Emilio Hernandez; Rodrigo Cavaca,3,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Zenith BJJ""; o acervo possui 3 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Franco Harlen do N. Gondin,https://ibjjf.com/athletes/franco-gondin,Nova União,male,master1,gi,9,78; 634; 6756; 4334; 195,Andre Pederneiras; Wendell Alexander; Rodrigo Silva; Andre da Silva; Robson Moura,39,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Nova União""; o acervo possui 39 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Kaio Felipe Martins,https://ibjjf.com/athletes/kaio-martins,Gracie Humaita,male,master1,gi,9,515; 903; 1445; 613; 6339,Royler Gracie; Leticia Ribeiro; Rolker Gracie; Wellington Dias; Admilson Brites,34,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Gracie Humaita""; o acervo possui 34 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Andre Jose Costa Santos,https://ibjjf.com/athletes/andre-santos-daddbc3d833d,GF Team,male,master1,gi,9,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Pedro Salgado Vianna,https://ibjjf.com/athletes/pedro-vianna-32678a662fc1,CheckMat,male,master1,gi,9,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Adercino de Jesus,https://ibjjf.com/athletes/adercino-jesus,Nova União,male,master1,gi,9,78; 634; 6756; 4334; 195,Andre Pederneiras; Wendell Alexander; Rodrigo Silva; Andre da Silva; Robson Moura,39,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Nova União""; o acervo possui 39 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Ederson Antonio do Nascimento Junior,https://ibjjf.com/athletes/ederson-junior,Brazilian Top Team,male,master1,gi,9,627; 8409; 249; 232; 1675,Murilo Bustamante; Ricardo Marques; Anderson Pereira; Jose Mario Sperry; Luis Roberto Duarte,6,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Brazilian Top Team""; o acervo possui 6 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Kang Hongbi,https://ibjjf.com/athletes/kang-hongbi,John Frankl Jiu-Jitsu,male,master1,gi,9,8842,Wanki Chae,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""John Frankl Jiu-Jitsu""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Michael David Maclean,https://ibjjf.com/athletes/michael-maclean,Relson Gracie,male,master1,gi,9,453,Daniel Moraes,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Relson Gracie""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Mauricio Fernandes de Holanda Santos,https://ibjjf.com/athletes/mauricio-santos-a07b2461bdb8,Brazilian Top Team,male,master1,gi,9,627; 8409; 249; 232; 1675,Murilo Bustamante; Ricardo Marques; Anderson Pereira; Jose Mario Sperry; Luis Roberto Duarte,6,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Brazilian Top Team""; o acervo possui 6 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
George Uther Brandão R. Baldessarini,https://ibjjf.com/athletes/george-baldessarini,GF Team,male,master1,gi,9,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Jordan Louis Stone,https://ibjjf.com/athletes/jordan-stone,Big Brothers,male,master1,gi,9,6403,Leonardo Dalla,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Big Brothers""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Dyego Fernandes,https://ibjjf.com/athletes/dyego-fernandes,GF Team,male,master1,gi,8,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Oscar Fernández Calderón,https://ibjjf.com/athletes/oscar-calderon-17696e5bfc68,CFC Team,male,master1,gi,8,9697,Sergio Calderon,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CFC Team""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Stuart L Batta,https://ibjjf.com/athletes/stuart-batta,Team Shawn Hammonds,male,master1,gi,8,9845,Chad Hardy,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Team Shawn Hammonds""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Othon Bruno M. Mendonça,https://ibjjf.com/athletes/othon-mendonca,GF Team,male,master1,gi,8,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Alex Luiz de Jesus Portella,https://ibjjf.com/athletes/alex-portella,GF Team,male,master1,gi,8,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Sebastian Andres Alvarado San Andres,https://ibjjf.com/athletes/sebastian-alvarado,AOJ,male,master1,gi,8,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Guilherme  Peres de Oliveira,https://ibjjf.com/athletes/guilherme-oliveira-e25e158647d6,GF Team,male,master1,gi,8,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Klevulys Lucindo Pereira,https://ibjjf.com/athletes/klevulys-pereira,Toronto BJJ,male,master1,gi,7.5,8783,Yacinta Nguyen,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Toronto BJJ""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Alejandro Colin,https://ibjjf.com/athletes/alejandro-colin,Fight Sports,male,master1,gi,7,224; 11384; 12178; 13473; 13031,Roberto Abreu; Andre Porfirio; Joao Costa; Kauane Silva; Lucas Lisboa,12,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Fight Sports""; o acervo possui 12 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Alan dos Santos Silva,https://ibjjf.com/athletes/alan-silva-8864695becae,CheckMat,male,master1,gi,7,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Janderson Vicente da Silva,https://ibjjf.com/athletes/janderson-silva,CheckMat,male,master1,gi,7,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Antonio Francisco Rocha Barros,https://ibjjf.com/athletes/antonio-barros-9474bb7e2cbb,The Match Champ,male,master1,gi,6,12201,Maria Eduarda Tozoni,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""The Match Champ""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Eduardo Maues de Jesus,https://ibjjf.com/athletes/eduardo-jesus,Fight Sports,male,master1,gi,6,224; 11384; 12178; 13473; 13031,Roberto Abreu; Andre Porfirio; Joao Costa; Kauane Silva; Lucas Lisboa,12,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Fight Sports""; o acervo possui 12 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Wesley dos Santos Rosa,https://ibjjf.com/athletes/wesley-rosa,Striker JJ,male,master1,gi,6,12277,Pedro Agrizzi,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Striker JJ""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Fylipe Pires de Almeida Chaves,https://ibjjf.com/athletes/fylipe-chaves,CheckMat,male,master1,gi,6,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Omar A. Jimenez,https://ibjjf.com/athletes/omar-jimenez,Renzo Gracie Academy,male,master1,gi,6,10000; 5649; 7442; 9760; 5617,Doug Pelinkovic; Gary Tonon; Edward Cummings; Frank Rosenthal; Jamie Cruz,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Renzo Gracie Academy""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Breno Hoyos Guimarães,https://ibjjf.com/athletes/breno-guimaraes,Gracie Humaita,male,master1,gi,6,515; 903; 1445; 613; 6339,Royler Gracie; Leticia Ribeiro; Rolker Gracie; Wellington Dias; Admilson Brites,34,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Gracie Humaita""; o acervo possui 34 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Rafael Ferreira da Silva,https://ibjjf.com/athletes/rafael-silva-a89e617ad712,PSLPB Cicero Costha,male,master1,gi,6,1155; 13076; 7704; 6151; 13062,Cicero Costha; Francisco Lo; Helton Jose Junior; Hiago George; Leonardo Mario,5,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""PSLPB Cicero Costha""; o acervo possui 5 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Bartosz Paweł Lewandowski,https://ibjjf.com/athletes/bartosz-lewandowski,Roger Gracie Academy,male,master1,gi,4.5,6209; 9261,Felipe Mota; Ross Nicholls,2,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Roger Gracie Academy""; o acervo possui 2 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Magno de Souza Luz,https://ibjjf.com/athletes/magno-luz,PSLPB Cicero Costha,male,master1,gi,4,1155; 13076; 7704; 6151; 13062,Cicero Costha; Francisco Lo; Helton Jose Junior; Hiago George; Leonardo Mario,5,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""PSLPB Cicero Costha""; o acervo possui 5 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Glaucio Luiz dos Santos Rosa,https://ibjjf.com/athletes/glaucio-rosa,GF Team,male,master1,gi,4,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Christopher Shawn Parise,https://ibjjf.com/athletes/christopher-parise,Big Brothers,male,master1,gi,4,6403,Leonardo Dalla,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Big Brothers""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Caique Rodrigues Honorio,https://ibjjf.com/athletes/caique-honorio,CheckMat,male,master1,gi,4,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Alexandre de Kallys F. E. Rodrigues,https://ibjjf.com/athletes/alexandre-rodrigues-3e2191ee70ca,CheckMat,male,master1,gi,4,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Luan Fernandes de  Souza,https://ibjjf.com/athletes/luan-souza-4e4bfaa0b94d,GF Team,male,master1,gi,4,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
David Samuel Wilcox,https://ibjjf.com/athletes/david-wilcox,Toronto BJJ,male,master1,gi,3,8783,Yacinta Nguyen,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Toronto BJJ""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Gabriel Alves dos Santos,https://ibjjf.com/athletes/gabriel-santos-d3648931d52d,GF Team,male,master1,gi,3,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Jaisson Roberto Santos Amarante,https://ibjjf.com/athletes/jaisson-amarante,Ns Brotherhood,male,master1,gi,3,1188; 7256,Leandro Lo; Jan Buatim,2,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Ns Brotherhood""; o acervo possui 2 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Matthew Edward Pasquale,https://ibjjf.com/athletes/matthew-pasquale,Toronto BJJ,male,master1,gi,3,8783,Yacinta Nguyen,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Toronto BJJ""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Randy William Sheets,https://ibjjf.com/athletes/randy-sheets,Bjj Conquest,male,master1,gi,3,7732,Vicente Junior,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Bjj Conquest""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Albert Sant'anna de Carvalho,https://ibjjf.com/athletes/albert-carvalho,GF Team,male,master1,gi,3,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Jim Roger Joji Eriksson,https://ibjjf.com/athletes/jim-eriksson,Carpe Diem,male,master1,gi,3,9152; 7645; 9559; 6060,Daisuke Shiraki; Masahiro Iwasaki; Rida Haisam; Tomoyuki Hashimoto,4,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Carpe Diem""; o acervo possui 4 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Paulo Cesar Yaginuma,https://ibjjf.com/athletes/paulo-yaginuma,Carpe Diem,male,master1,gi,3,9152; 7645; 9559; 6060,Daisuke Shiraki; Masahiro Iwasaki; Rida Haisam; Tomoyuki Hashimoto,4,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Carpe Diem""; o acervo possui 4 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Daniel Hudson Gomes Nunes,https://ibjjf.com/athletes/daniel-nunes-02e077ebc75a,Demian Maia Jiu-Jitsu,male,master1,gi,3,7103,Wagner Mota,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Demian Maia Jiu-Jitsu""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Robson Santana da Costa Oliveira,https://ibjjf.com/athletes/robson-oliveira-10b5e2329463,De La Riva JJ,male,master1,gi,3,7928,Claudia Doval,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""De La Riva JJ""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Emil Joseph,https://ibjjf.com/athletes/emil-joseph,Toronto BJJ,male,master1,gi,3,8783,Yacinta Nguyen,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Toronto BJJ""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Eliandro Soares de Carvalho,https://ibjjf.com/athletes/eliandro-4ec06da21101,Nova União,male,master1,gi,3,78; 634; 6756; 4334; 195,Andre Pederneiras; Wendell Alexander; Rodrigo Silva; Andre da Silva; Robson Moura,39,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Nova União""; o acervo possui 39 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Zeolino Pereira Martins,https://ibjjf.com/athletes/zeolino-martins,Nova União,male,master1,gi,3,78; 634; 6756; 4334; 195,Andre Pederneiras; Wendell Alexander; Rodrigo Silva; Andre da Silva; Robson Moura,39,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Nova União""; o acervo possui 39 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Marcio Fabricio Fernandes da Paixão,https://ibjjf.com/athletes/marcio-paixao-7a7f98277e90,CheckMat,male,master1,gi,3,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Klewerton Jonathans Ribeiro da Silva,https://ibjjf.com/athletes/klewerton-silva,Nova União,male,master1,gi,3,78; 634; 6756; 4334; 195,Andre Pederneiras; Wendell Alexander; Rodrigo Silva; Andre da Silva; Robson Moura,39,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Nova União""; o acervo possui 39 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
